SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52000124,7.20,7.00,5.80,5.25,6.00,4.25
52000125,7.00,6.75,6.20,None,None,None
52000126,8.60,6.50,9.40,7.75,5.75,7.00
52000127,None,6.75,None,None,None,None
52000128,7.00,5.75,3.40,None,None,None
52000129,6.40,None,8.60,8.25,None,None
52000130,None,6.75,None,None,None,None
52000131,9.00,6.75,6.80,None,None,None
52000132,6.60,7.00,None,None,None,None
52000133,7.40,6.75,None,None,None,None
52000134,4.20,5.25,None,None,None,None
52000135,8.00,5.75,3.20,5.50,7.50,4.50
52000136,7.80,None,7.40,5.50,8.00,8.25
52000137,7.00,6.25,4.00,5.50,5.75,5.25
52000138,4.00,4.25,4.60,None,None,None
52000139,5.60,5.25,None,None,None,None
52000140,7.60,8.00,7.40,None,None,None
52000141,7.60,6.50,8.20,None,None,None
52000142,7.40,6.00,7.40,5.50,5.25,2.25
52000143,7.40,6.75,4.80,None,None,None
52000144,7.80,5.75,4.40,6.50,5.50,3.25
52000145,7.40,6.50,4.80,None,None,None
52000146,5.80,5.50,4.20,3.25,3.00,3.50
52000147,7.60,6.75,7.20,7.50,7.50,6.25
52000148,7.80,None,None,8.25,8.25,None
52000149,7.00,7.00,7.00,7.00,6.75,6.00
52000150,7.20,6.50,9.40,6.25,4.00,5.00
52000151,None,4.50,None,None,None,None
